البرنامج (التصنيف الأول),تصنيف الاحتياج (التصنيف الثاني),نوع حليب الاطفال,قياس حفاضات الاطفال,قياس حفاضات عجزة,الكمية,هل حصلت العائلة (أو الفرد) على الخدمة,تاريخ الحصول على الخدمة,هل حصلت العائلة (أو الفرد) على الخدمة.1,تاريخ الحصول على الخدمة.1,_index,_parent_table_name,_parent_index,_submission__id,_submission__submission_time,_submission__validation_status,_submission__status
احتياجات مالية أو سبل العيش,دعم مالي,,,,1,لا,,,,19,FamilyMembers,19,464162018,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,5,لا,,,,20,FamilyMembers,20,464162018,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,بطانيات,,,,5,لا,,,,21,FamilyMembers,21,464162018,2025-04-16,,submitted_via_web
احتياجات مالية أو سبل العيش,دعم مالي,,,,1,لا,,,,22,FamilyMembers,22,464162243,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,23,FamilyMembers,23,464163368,2025-04-16,,submitted_via_web
احتياجات مالية أو سبل العيش,دعم مالي,,,,6,لا,,,,24,FamilyMembers,24,464164174,2025-04-16,,submitted_via_web
احتياجات مالية أو سبل العيش,دعم في الإيجار,,,,1,لا,,,,25,FamilyMembers,25,464165343,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,1,لا,,,,26,FamilyMembers,26,464165520,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,27,FamilyMembers,27,464167318,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,28,FamilyMembers,28,464169304,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,بطانيات,,,,3,لا,,,,29,FamilyMembers,29,464170428,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,30,FamilyMembers,30,464170428,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,140000000,لا,,,,31,FamilyMembers,31,464170995,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,32,FamilyMembers,32,464171749,2025-04-16,,submitted_via_web
احتياجات مالية أو سبل العيش,أخرى,,,,4,لا,,,,33,FamilyMembers,33,464171854,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,34,FamilyMembers,34,464173478,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,3,لا,,,,35,FamilyMembers,35,464173952,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,بطانيات,,,,3,لا,,,,36,FamilyMembers,36,464173952,2025-04-16,,submitted_via_web
احتياجات مالية أو سبل العيش,دعم مالي,,,,1,لا,,,,37,FamilyMembers,37,464173952,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,38,FamilyMembers,38,464174690,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,39,FamilyMembers,38,464174690,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,40,FamilyMembers,38,464174690,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,41,FamilyMembers,38,464174690,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,42,FamilyMembers,38,464174690,2025-04-16,,submitted_via_web
احتياجات مالية أو سبل العيش,أخرى,,,,4,لا,,,,43,FamilyMembers,40,464175134,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,44,FamilyMembers,41,464175196,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,1,لا,,,,45,FamilyMembers,42,464176706,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,1100000000,لا,,,,46,FamilyMembers,43,464177520,2025-04-16,,submitted_via_web
احتياجات مأوى أو صرف صحي,أخرى,,,,1,لا,,,,47,FamilyMembers,44,464178266,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,1,لا,,,,48,FamilyMembers,45,464178795,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,3,لا,,,,49,FamilyMembers,46,464180568,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,بطانيات,,,,3,لا,,,,50,FamilyMembers,47,464180568,2025-04-16,,submitted_via_web
احتياجات مالية أو سبل العيش,دعم مالي,,,,3,لا,,,,51,FamilyMembers,48,464180568,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,52,FamilyMembers,49,464181274,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,53,FamilyMembers,50,464181454,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,2,لا,,,,54,FamilyMembers,51,464183176,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,55,FamilyMembers,52,464183176,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,56,FamilyMembers,53,464183211,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,57,FamilyMembers,54,464183278,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,100000000,لا,,,,58,FamilyMembers,55,464184361,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,59,FamilyMembers,56,464184532,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,60,FamilyMembers,57,464185794,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,1,لا,,,,61,FamilyMembers,58,464186118,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,62,FamilyMembers,59,464187869,2025-04-16,,submitted_via_web
احتياجات مالية أو سبل العيش,دعم مالي,,,,1,لا,,,,63,FamilyMembers,60,464188919,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,64,FamilyMembers,61,464190690,2025-04-16,,submitted_via_web
احتياجات مالية أو سبل العيش,دعم مالي,,,,1,لا,,,,65,FamilyMembers,61,464190690,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,بطانيات,,,,1,لا,,,,66,FamilyMembers,62,464190690,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,67,FamilyMembers,63,464190920,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,68,FamilyMembers,64,464191667,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,69,FamilyMembers,66,464192628,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,70,FamilyMembers,67,464192709,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,20000000,لا,,,,71,FamilyMembers,68,464193251,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,72,FamilyMembers,69,464193703,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,73,FamilyMembers,70,464194457,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,3,لا,,,,74,FamilyMembers,71,464194729,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,1,لا,,,,75,FamilyMembers,72,464195202,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,76,FamilyMembers,73,464195946,2025-04-16,,submitted_via_web
احتياجات مأوى أو صرف صحي,تأهيل منزل,,,,1,لا,,,,77,FamilyMembers,74,464197120,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,78,FamilyMembers,75,464197308,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,1,لا,,,,79,FamilyMembers,76,464198344,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,80,FamilyMembers,77,464199881,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,1,لا,,,,81,FamilyMembers,78,464200312,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,1,لا,,,,82,FamilyMembers,79,464200847,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,6,لا,,,,83,FamilyMembers,80,464200893,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,بطانيات,,,,6,لا,,,,84,FamilyMembers,80,464200893,2025-04-16,,submitted_via_web
احتياجات مالية أو سبل العيش,دعم مالي,,,,1,لا,,,,85,FamilyMembers,80,464200893,2025-04-16,,submitted_via_web
احتياجات مأوى أو صرف صحي,أخرى,,,,1,لا,,,,86,FamilyMembers,81,464201179,2025-04-16,,submitted_via_web
احتياجات غذائية,حليب أطفال,2 (من 6 إلى سنة ),,,2,لا,,,,87,FamilyMembers,82,464201436,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,1,لا,,,,88,FamilyMembers,83,464203057,2025-04-16,,submitted_via_web
احتياجات مالية أو سبل العيش,دعم مالي,,,,1,لا,,,,89,FamilyMembers,84,464203490,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,5,لا,,,,90,FamilyMembers,84,464203490,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,91,FamilyMembers,85,464203906,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,1,لا,,,,92,FamilyMembers,86,464205812,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,93,FamilyMembers,87,464206087,2025-04-16,,submitted_via_web
احتياجات مالية أو سبل العيش,دعم مالي,,,,1,لا,,,,94,FamilyMembers,87,464206087,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,25000000,لا,,,,95,FamilyMembers,88,464206109,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,96,FamilyMembers,89,464207356,2025-04-16,,submitted_via_web
احتياجات مالية أو سبل العيش,دعم مالي,,,,2,لا,,,,97,FamilyMembers,90,464207381,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,2,لا,,,,98,FamilyMembers,90,464207381,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,1,لا,,,,99,FamilyMembers,91,464208242,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,100,FamilyMembers,92,464208368,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,1,لا,,,,101,FamilyMembers,93,464210811,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,نعم,2025-04-16,,,102,FamilyMembers,94,464212641,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,103,FamilyMembers,95,464212817,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,104,FamilyMembers,96,464212846,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,105,FamilyMembers,97,464214097,2025-04-16,,submitted_via_web
احتياجات مالية أو سبل العيش,الحاجة ل حقيبة أو عدة عمل,,,,1,لا,,,,106,FamilyMembers,98,464214760,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,1,لا,,,,107,FamilyMembers,99,464215057,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,1,لا,,,,108,FamilyMembers,100,464216533,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,6,لا,,,,109,FamilyMembers,101,464216652,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,1,لا,,,,110,FamilyMembers,101,464216652,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,111,FamilyMembers,102,464217640,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,بطانيات,,,,3,لا,,,,112,FamilyMembers,103,464217682,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,3,لا,,,,113,FamilyMembers,103,464217682,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,3,لا,,,,114,FamilyMembers,103,464217682,2025-04-16,,submitted_via_web
احتياجات طبية أو صحية,احتياج دواء,,,,1,لا,,,,115,FamilyMembers,103,464217682,2025-04-16,,submitted_via_web
احتياجات طبية أو صحية,احتياج دواء,,,,1,لا,,,,116,FamilyMembers,104,464217682,2025-04-16,,submitted_via_web
احتياجات مالية أو سبل العيش,الحاجة لتدريب مهني,,,,1,لا,,,,117,FamilyMembers,105,464217682,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,25000000,لا,,,,118,FamilyMembers,106,464218815,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,1,لا,,,,119,FamilyMembers,107,464219016,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,بطانيات,,,,1,لا,,,,120,FamilyMembers,108,464220535,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,1,لا,,,,121,FamilyMembers,108,464220535,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,122,FamilyMembers,108,464220535,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,123,FamilyMembers,109,464220686,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,1,لا,,,,124,FamilyMembers,109,464220686,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,125,FamilyMembers,110,464222059,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,126,FamilyMembers,111,464222518,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,127,FamilyMembers,112,464222853,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,1,لا,,,,128,FamilyMembers,112,464222853,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,بطانيات,,,,1,لا,,,,129,FamilyMembers,113,464223077,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,1,لا,,,,130,FamilyMembers,113,464223077,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,131,FamilyMembers,113,464223077,2025-04-16,,submitted_via_web
احتياجات غذائية,حليب أطفال,أكثر من سنة,,,1,لا,,,,132,FamilyMembers,113,464223077,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,25000000,لا,,,,133,FamilyMembers,114,464223975,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,نعم,2025-04-16,,,134,FamilyMembers,115,464224312,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,135,FamilyMembers,116,464224958,2025-04-16,,submitted_via_web
احتياجات مالية أو سبل العيش,دعم مالي,,,,2,لا,,,,136,FamilyMembers,117,464225958,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,137,FamilyMembers,118,464225966,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,7,لا,,,,138,FamilyMembers,118,464225966,2025-04-16,,submitted_via_web
احتياجات غذائية,أخرى,,,,1,لا,,,,139,FamilyMembers,118,464225966,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,بطانيات,,,,1,لا,,,,140,FamilyMembers,119,464226057,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,1,لا,,,,141,FamilyMembers,119,464226057,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,142,FamilyMembers,119,464226057,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,143,FamilyMembers,120,464226414,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,144,FamilyMembers,121,464227132,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,نعم,2025-04-16,,,145,FamilyMembers,122,464227792,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,بطانيات,,,,2,لا,,,,146,FamilyMembers,123,464228907,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,2,لا,,,,147,FamilyMembers,123,464228907,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,11000000,لا,,,,148,FamilyMembers,124,464229005,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,149,FamilyMembers,125,464229528,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,نعم,2025-04-16,,,150,FamilyMembers,126,464229628,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,بطانيات,,,,1,لا,,,,151,FamilyMembers,127,464229740,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,1,لا,,,,152,FamilyMembers,127,464229740,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,153,FamilyMembers,127,464229740,2025-04-16,,submitted_via_web
احتياجات مالية أو سبل العيش,دعم مالي,,,,1,نعم,2025-04-16,,,154,FamilyMembers,128,464230775,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,نعم,2025-04-16,,,155,FamilyMembers,128,464230775,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,6,نعم,2025-04-16,,,156,FamilyMembers,128,464230775,2025-04-16,,submitted_via_web
احتياجات مالية أو سبل العيش,دعم مالي,,,,2,لا,,,,157,FamilyMembers,134,464231046,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,158,FamilyMembers,135,464231205,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,159,FamilyMembers,136,464231332,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,1,لا,,,,160,FamilyMembers,136,464231332,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,نعم,2025-04-16,,,161,FamilyMembers,137,464231346,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,162,FamilyMembers,138,464231877,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,بطانيات,,,,1,لا,,,,163,FamilyMembers,138,464231877,2025-04-16,,submitted_via_web
احتياجات مالية أو سبل العيش,دعم مالي,,,,1,لا,,,,164,FamilyMembers,138,464231877,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,1,لا,,,,165,FamilyMembers,139,464231993,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,بطانيات,,,,1,لا,,,,166,FamilyMembers,140,464232214,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,1,لا,,,,167,FamilyMembers,140,464232214,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,168,FamilyMembers,140,464232214,2025-04-16,,submitted_via_web
احتياجات غذائية,حليب أطفال,أكثر من سنة,,,1,لا,,,,169,FamilyMembers,140,464232214,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,نعم,2025-04-16,,,170,FamilyMembers,141,464233174,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,1,لا,,,,171,FamilyMembers,142,464233920,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,6,لا,,,,172,FamilyMembers,143,464234133,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,173,FamilyMembers,143,464234133,2025-04-16,,submitted_via_web
احتياجات مالية أو سبل العيش,دعم مالي,,,,1,لا,,,,174,FamilyMembers,143,464234133,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,175,FamilyMembers,144,464234205,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,1,لا,,,,176,FamilyMembers,145,464234445,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,177,FamilyMembers,145,464234445,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,نعم,2025-04-16,,,178,FamilyMembers,146,464234509,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,179,FamilyMembers,147,464235378,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,1,لا,,,,180,FamilyMembers,147,464235378,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,500000,لا,,,,181,FamilyMembers,148,464235626,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,1,لا,,,,182,FamilyMembers,149,464236083,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,183,FamilyMembers,150,464236534,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,نعم,2025-04-16,,,184,FamilyMembers,151,464236796,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,1,لا,,,,185,FamilyMembers,152,464236797,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,186,FamilyMembers,152,464236797,2025-04-16,,submitted_via_web
احتياجات مالية أو سبل العيش,دعم مالي,,,,1,لا,,,,187,FamilyMembers,152,464236797,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,1,لا,,,,188,FamilyMembers,153,464238650,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,1,لا,,,,189,FamilyMembers,154,464238887,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,190,FamilyMembers,154,464238887,2025-04-16,,submitted_via_web
احتياجات مالية أو سبل العيش,دعم مالي,,,,1,لا,,,,191,FamilyMembers,154,464238887,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,نعم,2025-04-16,,,192,FamilyMembers,155,464239142,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,بطانيات,,,,1,لا,,,,193,FamilyMembers,156,464239182,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,1,لا,,,,194,FamilyMembers,156,464239182,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,195,FamilyMembers,156,464239182,2025-04-16,,submitted_via_web
احتياجات غذائية,حليب أطفال,أكثر من سنة,,,1,لا,,,,196,FamilyMembers,156,464239182,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,197,FamilyMembers,157,464240351,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,نعم,2025-04-16,,,198,FamilyMembers,158,464240775,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,2,لا,,,,199,FamilyMembers,159,464240840,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,1,لا,,,,200,FamilyMembers,160,464241018,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,بطانيات,,,,1,لا,,,,201,FamilyMembers,161,464241786,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,1,لا,,,,202,FamilyMembers,161,464241786,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,لا,,,,203,FamilyMembers,161,464241786,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,نعم,2025-04-16,,,204,FamilyMembers,162,464241824,2025-04-16,,submitted_via_web
احتياجات غذائية,طعام أو معلبات,,,,1,نعم,2025-04-16,,,205,FamilyMembers,162,464241824,2025-04-16,,submitted_via_web
احتياجات غير غذائية أو نظافة,فرشات,,,,1,لا,,,,206,FamilyMembers,165,464242293,2025-04-16,,submitted_via_web
